group,scene,condition,method,seed,configured_budget_s,actual_duration_s,duration_status,reconstruction_frames,decision_captures,path_length_m,planning_wall_time_s,eval_views,n_severe,n_clean,psnr_shared,psnr_severe,psnr_clean,psnr_cube_provisional,recorded_psnr_shared,delta_from_recorded_db,scoring,historical_completeness_5cm,historical_ssim,historical_lpips
gs,interior_0044,d0,r3con-pano,0,300,300.0,complete,301,89,139.01210466673876,39.59421227697749,80,40,40,24.126587104294117,23.00412813909624,25.249046069492003,23.860081815013885,24.12658704723069,5.7063427760795093e-08,export_reload_legacy_dc,0.30217401782433523,0.8384711116552352,0.22683490896597505
gs,interior_0044,d0,magician,0,300,300.0,complete,301,116,115.0,411.951740898774,80,40,40,23.198834466407853,23.240660866505074,23.157008066310645,23.686213269846867,23.19883445704146,9.366392106358035e-09,export_reload_legacy_dc,0.2905599634076401,0.8200175323989243,0.2623730580322444
gs,interior_0044,d0,fisherrf,0,300,300.0,complete,301,101,146.0670263604953,1206.0681754200195,80,40,40,22.49253737843585,22.912557308724537,22.072517448147156,22.61394948924362,22.49253735182455,2.6611299830392454e-08,export_reload_legacy_dc,0.28878654528275266,0.8008108004927635,0.2754071163013577
gs,interior_0044,d0,gavis,0,270,270.0,complete,271,102,129.18862058698198,1056.466602378001,80,40,40,20.86651416687365,21.88863863106614,19.844389702681156,20.10298633767015,20.86651424268565,-7.581200023309975e-08,export_reload_legacy_dc,0.20161976611877647,0.7584489610046148,0.35632875552400944
gs,interior_0044,d0,random,0,300,300.0,complete,301,505,54.03692156841037,0.02745660993969068,80,40,40,14.949501640005149,15.717537941740904,14.18146533826939,15.671383368375444,14.949501711988791,-7.198364215810216e-08,export_reload_legacy_dc,0.10761553122439418,0.5314768689175253,0.6403290711343288
gs,interior_0044,d0,gleam,0,300,300.0,complete,301,45,81.82002139753092,11.470688032990438,80,40,40,20.86767604141668,20.670703168745725,21.064648914087623,20.963451847250347,20.85551773174126,0.012158309675420753,export_reload_legacy_dc,0.22055443903845925,0.7602111183106899,0.3293699902482331
gs,interior_0044,dyn,r3con-pano,0,300,300.0,complete,301,90,137.7485617029007,40.11198648498976,80,40,40,23.00112415196829,20.923059922398604,25.079188381537975,23.70318995013954,23.00112414844251,3.5257805564015143e-09,export_reload_legacy_dc,0.30727396090245285,0.8227892987430095,0.25346896732226015
gs,interior_0044,dyn,magician,0,300,300.0,complete,301,116,115.30000000000003,426.4476927530486,80,40,40,22.81413770914349,22.133760074322716,23.49451534396426,22.97390855621966,22.814137602696768,1.0644672343573802e-07,export_reload_legacy_dc,0.2888724061954893,0.8135850315797143,0.2746316551230848
gs,interior_0044,dyn,fisherrf,0,300,300.0,complete,301,106,143.56162283060547,1312.8836114588776,80,40,40,22.595233354359042,21.492811641440746,23.697655067277317,24.427812263495863,22.59523309192439,2.624346535640143e-07,export_reload_legacy_dc,0.26329561112187627,0.8112235233187676,0.28103267969563606
gs,interior_0044,dyn,gavis,0,270,270.0,complete,271,99,128.58976344915453,952.4278014199954,80,40,40,18.238867796666014,18.30843754882151,18.16929804451052,17.741612253919246,18.23886777635898,2.0307034276356717e-08,export_reload_legacy_dc,0.17285967770545296,0.7001034572720528,0.4614997417666018
gs,interior_0044,dyn,random,0,300,300.0,complete,301,506,52.92743747505983,0.02713214632240124,80,40,40,14.444449845612416,14.655227055795663,14.233672635429164,15.996940548216523,14.444449835387564,1.0224852076134994e-08,export_reload_legacy_dc,0.10742761290856379,0.5205116473793169,0.6645156414248049
gs,interior_0044,dyn,gleam,0,300,255.57029966254083,shortened,256,40,60.421850392525315,9.856639688987343,80,40,40,18.551115570314117,18.268613901369577,18.833617239258647,19.67390683635583,18.539329707503647,0.011785862810469894,export_reload_legacy_dc,0.17405236383873993,0.6791191088006598,0.44976878445595503
